occurrence_no;record_type;reid_no;flags;collection_no;identified_name;identified_rank;identified_no;difference;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma;ref_author;ref_pubyr;reference_no;phylum;class;order;family;genus;plant_organ;plant_organ2;abund_value;abund_unit;lng;lat;occurrence_comments;collection_name;collection_subset;collection_aka;cc;state;county;latlng_basis;latlng_precision;geogscale;geogcomments;paleomodel;geoplate;paleoage;paleolng;paleolat;cc;protected;direct_ma;direct_ma_error;direct_ma_unit;direct_ma_method;max_ma;max_ma_error;max_ma_unit;max_ma_method;min_ma;min_ma_error;min_ma_unit;min_ma_method;formation;stratgroup;member;stratscale;zone;localsection;localbed;localbedunit;localorder;regionalsection;regionalbed;regionalbedunit;regionalorder;stratcomments;lithdescript;lithology1;lithadj1;lithification1;minor_lithology1;fossilsfrom1;lithology2;lithadj2;lithification2;minor_lithology2;fossilsfrom2;environment;tectonic_setting;geology_comments;assembl_comps;articulated_parts;associated_parts;common_body_parts;rare_body_parts;feed_pred_traces;artifacts;component_comments;pres_mode;preservation_quality;spatial_resolution;temporal_resolution;lagerstatten;concentration;orientation;abund_in_sediment;sorting;fragmentation;bioerosion;encrustation;preservation_comments;collection_type;collection_methods;museum;collection_coverage;collection_size;rock_censused;collectors;collection_dates;collection_comments;taxonomy_comments;research_group;taxon_environment;environment_basis;motility;life_habit;vision;diet;reproduction;ontogeny;ecospace_comments;composition;architecture;thickness;reinforcement;image_no
73524;occ;;;5354;Cypraea sp.;genus;9724;;Cypraea;;genus;9724;Bartonian;;41.03;37.71;Powell and Baum;1982;318;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;;;-79.691.666;33.325.001;;GE-1 (Santee Limestone, South Carolina);;;US;South Carolina;Georgetown;based on political unit;seconds;outcrop;Martin-Marietta Georgetown Quarry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73699;occ;;;5362;Cypraea sp.;genus;9724;;Cypraea;;genus;9724;Priabonian;;37.71;33.9;Powell and Baum;1982;318;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;;;-80.448.059;33.250.000;;DO-1, Giant Portland Quarry;;;US;South Carolina;Dorchester;based on political unit;minutes;outcrop;Giant Portland Quarry (see Banks, 1977);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73730;occ;;;5363;Cypraea sp.;genus;9724;;Cypraea;;genus;9724;Priabonian;;37.71;33.9;Powell and Baum;1982;318;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;;;-80.487.503;33.474.998;;OR-1, Santee Portland Quarry;;;US;South Carolina;;based on political unit;seconds;outcrop;Santee Portland Quarry (see Banks, 1977);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73794;occ;;;5366;Cypraea sp.;genus;9724;;Cypraea;;genus;9724;Bartonian;;41.03;37.71;Powell and Baum;1982;318;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;;;-77.650.002;34.639.999;;P-4, Maple Hill;;;US;North Carolina;Pender;estimated from map;2;outcrop;Map point is southeast of Maple Hill.;gplates;109;mid;-59.51;36.46;US;;;;;;;;;;;;;;Castle Hayne;;Comfort;group of beds;Periarchus lyelli;;;;;;;;;This collection is from the upper part of the formation. According to Powell and Baum, this collection could also fall under the Crassatella alta/Chlamys cawcawensis faunal zone, although the beginning of the C. alta zone is questionable due to unconformity. ;a bryozoan biosparrudite facies that interfingers with and is gradational with the overlying biomicrudite facies. (from baum et al. 1978);wackestone;shelly/skeletal;lithified;;Y;grainstone;;;;;deep subtidal ramp;;The Castle Hayne Limestone was deposited in an open, normal salinity environment between 30 m and 100 m in water depth. Comfort Member contains cross-bedded intervals, suggesting some energy, consistent with deep subtidal environment.;macrofossils;;;;;;;;body;;;;;;;;;;;;;biostratigraphic;;;all microfossils,difficult macrofossils;;;;;;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
73857;occ;;;5367;Cypraea sp.;genus;9724;;Cypraea;;genus;9724;Bartonian;;41.03;37.71;Powell and Baum;1982;318;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraea;;;;;-77.864.998;34.369.999;;NH1-D, Martin-Marietta Quarry;;;US;North Carolina;New Hanover;based on political unit;2;outcrop;3.4 km NE of the town of Castle Hayne, the section exposed in the Martin-Marietta Quarry on Co. Rd. 1002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74537;occ;;;5496;Bernaya (Protocypraea) n. sp. grovesi;species;342624;recombined as;Bernaya grovesi;;species;342624;Ypresian;;56;48.07;Squires and Demetrion;1992;322;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Bernaya;;;;;-113.000.000;26.750.000;;CSUN Loc. 1220b, Mesa la Salina;;LACMIP loc. 16951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74933;occ;41332;;5542;Subepona leahae;species;479093;;Subepona leahae;;species;479093;Lutetian;;48.07;41.03;Groves and Squires;2023;86508;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Subepona;;;1;specimens;-119.150.002;34.766.666;;CSUN Loc. 984, Lockwood Valley;;LACMIP Loc. 16178;US;California;Ventura;;minutes;outcrop;At elevation of 6025 ft. on N side of ridge, 3200 ft. S and 1150 ft. E of NW corner of section 19, T 8 N, R 21 W;gplates;105;mid;-97.35;40.10;US;FED;;;;;;;;;;;;;Juncal;;;group of beds;;;;;;;;;;;the juncal formation in northern lockwood valley is 605 m thick and consists primarily of muddy siltstone with minor amounts of sandstone and scattered lenses with fossils. lenses are fine to coarse sandstone representing storm lag deposits.;siltstone;lag;poorly lithified;argillaceous;Y;sandstone;;poorly lithified;;Y;transition zone/lower shoreface;;;macrofossils;;;;;;;;body;;;;;;;;;;;;;taxonomic;bulk,field collection;LACM;;;;;;Samples were taken for microfossil (nannos and planktonic forams)collections, but all were barren.;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
85548;occ;32437;;6146;Bernaya (Bernaya) burlingtonensis;species;335091;;Bernaya (Bernaya) burlingtonensis;;species;335090;Late Campanian;;83.6;72.2;Groves;1990;57733;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Bernaya (Bernaya);;;rare;category;-75.702.782;39.545.834;Cypraea cf. C. mortoni;USGS 17702;;south side of Chesapeake and Delaware canal, 100yd west of Penn Central Railroad's bridge;US;Delaware;;based on nearby landmark;seconds;small collection;south side of Chesapeake and Delaware canal, 100yd west of Penn Central Railroad's Chesapeake and Delaware canal bridge, Del.;gplates;109;mid;-36.50;40.29;US;;;;;;;;;;;;;;Marshalltown;;;;;;;;;;;;;;;;;;;;;;;;;marine indet.;;;;;;;;;;;body;;;;;;;;;;;;;biostratigraphic;field collection;USGS;all microfossils,difficult macrofossils;;;;;collected by C. W. Carter 1935-7;;marine invertebrate;;;actively mobile;epifaunal;limited;omnivore, grazer;;;;aragonite;;;;167
95207;occ;;;6002;Cypraeorbis sphaeroides;species;342313;;Cypraeorbis sphaeroides;;species;342312;Rupelian;;33.9;27.mars;MacNeil and Dockery;1984;447;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraeorbis;;;;;-89.380.554;32.010.834;;MGS Loc. 93;;;US;Mississippi;Smith;based on nearby landmark;seconds;outcrop;Byram Formation: Stream bed off of West Tallahala Creek east of bridge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95266;occ;;;6005;Cypraeorbis sphaeroides;species;342313;;Cypraeorbis sphaeroides;;species;342312;Rupelian;;33.9;27.mars;MacNeil and Dockery;1984;447;Mollusca;Gastropoda;Sorbeoconcha;Cypraeidae;Cypraeorbis;;;;;-90.245.277;32.179.169;;MGS #106a;;;US;Mississippi;Hinds;based on nearby landmark;seconds;outcrop;Byram Formation, east bank of the Big Black River at the sharp bend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
